FOOD_CODE,NUTRIENT,QUANTITY
14834,020,6
15077,001,196
15077,005,606
15077,008,32
15077,009,702
15077,011,4.2
15077,012,26
15077,013,290
15077,015,0.01
15077,020,1.4
15078,001,193
15078,005,589
15078,008,31
15078,009,685
15078,011,6.1
15078,012,0
15078,013,330
15078,015,0.01
15078,020,1.4
15079,001,193
15079,005,567
15079,008,37
15079,009,663
15079,011,12.4
15079,012,0
15079,013,210
15079,015,0.02
15079,020,1.7
15296,001,-99
15296,005,26
15296,008,8
15296,009,27
15296,011,12.2
15296,012,20
15296,013,240
15296,015,0.05
15296,020,0.9
15297,001,-99
15297,005,27
15297,008,6
15297,009,27
15297,011,11.4
15297,012,26
15297,013,290
15297,015,0.05
15297,020,0.8
15298,001,-99
15298,005,15
15298,008,4
15298,009,16
15298,011,14.8
15298,012,1
15298,013,230
15298,015,0.05
15298,020,0.8
15314,001,0
15314,005,6
15314,008,240
15314,009,6
15314,011,11
15314,012,0
15314,013,7300
15314,015,0.87
15314,020,-88
15330,001,0
15330,005,-99
15330,008,90
15330,009,-99
15330,011,7.5
15330,012,-88
15330,013,570
15330,015,0.35
15330,020,3.6
16013,001,0
16013,005,-99
16013,008,11
16013,009,-99
16013,011,-99
16013,012,56
16013,013,520
16013,015,0.02
16013,020,0
16023,001,0
16023,005,-99
16023,008,67
16023,009,-99
16023,011,11.7
16023,012,-88
16023,013,160
16023,015,0.04
16023,017,19.25
16023,019,4.25
16023,020,0.2
16176,001,0
16176,005,-99
16176,008,79
16176,009,-99
16176,011,0
16176,012,43
16176,013,220
16176,015,0.19
16176,020,0
16188,001,0
16188,005,-99
16188,008,60
16188,009,-99
16188,011,0
16188,012,70
16188,013,1350
16188,015,0.14
16188,020,0
16192,001,0
16192,005,-99
16192,008,14
16192,009,-99
16192,011,0
16192,012,69
16192,013,110
16192,015,0.1
16192,020,0
16203,001,0
16203,005,-99
16203,008,25
16203,009,-99
16203,011,0
16203,012,60
16203,013,69
16203,015,0.04
16203,020,0
16216,001,0
16216,005,-99
16216,008,500
16216,009,-99
16216,011,0
16216,012,65
16216,013,620
16216,015,0.11
16216,020,0
16229,001,0
16229,005,-99
16229,008,8
16229,009,-99
16229,011,0
16229,012,51
16229,013,550
16229,015,0.05
16229,020,0
16232,001,0
16232,005,-99
16232,008,-88
16232,009,-99
16232,011,-99
16232,012,72
16232,013,640
16232,015,1.77
16232,020,0
16239,001,0
16239,005,-99
16239,008,110
16239,009,-99
16239,011,0
16239,012,280
16239,013,2550
16239,015,0.2
16239,020,0
16256,001,0
16256,005,-99
16256,008,52
16256,009,-99
16256,011,3.5
16256,012,58
16256,013,590
16256,015,0.21
16256,020,0
16281,001,0
16281,005,-99
16281,008,150
16281,009,-99
16281,011,19.7
16281,012,25
16281,013,870
16281,015,0.04
16281,020,0.5
16289,001,0
16289,005,-99
16289,008,85
16289,009,-99
16289,011,15.5
16289,012,32
16289,013,550
16289,015,0.04
16289,020,0.5
16307,001,0
16307,005,0
16307,008,21
16307,009,0
16307,011,4.1
16307,012,25
16307,013,1040
16307,015,-88
16307,020,-99
17007,001,0
17007,002,0
17007,005,500
17007,008,-99
17007,009,500
17007,011,-99
17007,012,280
17007,013,28
17007,015,-99
17007,017,0
17007,019,0
17007,020,0
17008,001,0
17008,002,0
17008,005,-99
17008,008,-99
17008,009,-99
17008,011,-99
17008,012,0
17008,013,-88
17008,015,0.21
17008,017,23.9
17008,019,9.3
17008,020,0
17009,001,0
17009,002,0
17009,005,-99
17009,008,-99
17009,009,-99
17009,011,-99
17009,012,0
