"CODE","ALT"
59,"nestleasdas"
59,"nestlecerealpartners"
59,"nestlekelloggs"
59,"nestleorkellogs"
59,"nestleownbrand"
59,"nestlesainsburys"
59,"nestlesasdas"
59,"nestlesjordans"
59,"nestlesomerfield"
59,"nestlesorlidlversion"
59,"nestlessafeway"
59,"nestlestescos"
59,"nestlesunblest"
59,"netto"
59,"nettokelloggs"
59,"nettoortesco"
59,"nettoownbrand"
59,"newday"
59,"newmorning"
59,"newmorningfoodcheshire"
59,"newmorningfoodscheshre"
59,"nibasco"
59,"nisasain"
59,"nisasainsburys"
59,"noaddedsaltorsugar"
59,"noaddedsugarorsalt"
59,"nobrandname"
59,"noextrasugar"
59,"nofrills"
59,"noname"
59,"noregbrand"
59,"norflake"
59,"nosugaralpen"
59,"notatbreakfastalpen"
59,"notstated"
59,"notveryoftenbut"
59,"nutsraisinsother"
59,"oatbranmaize"
59,"oatsandraisins"
59,"oatsnutsdriedprunesap"
59,"oatsnutshoneyvegoil"
59,"oatsraisinshoneyalmond"
59,"occasioanllykelloggsor"
59,"occasionally"
59,"occasionallyotherbrands"
59,"occasionaly"
59,"olacys"
59,"oliveoil"
59,"onebiscuit"
59,"onnutsordriedfruit"
59,"onwlabel"
59,"optima"
59,"oranytypeof"
59,"orasda"
59,"organic"
59,"orhealthfoodshopsown"
59,"origianl"
59,"orquaker"
59,"orsafeways"
59,"othersattimes"
59,"ourownbrand"
59,"owenbrand"
59,"ownbran"
59,"ownbrandeconomy"
59,"ownbrandegcoop"
59,"ownbrandegsainsburys"
59,"ownbrandlocalhfdshop"
59,"ownbrands"
59,"ownbrandsainasdamorr"
59,"ownbrandtescoorbudgen"
59,"ownbrandtescosains"
59,"ownlabel"
59,"ownmade"
59,"ownmake"
59,"ownmakefothiatushernia"
59,"ownmix5"
59,"oxfam"
59,"parker"
59,"partnersuk"
59,"pefectbalance"
59,"picapac"
59,"pickmix"
59,"pluadded"
59,"postusbrand"
59,"premitts"
59,"premium"
59,"pumpkinseeds"
59,"qiuaker"
59,"quacker"
59,"quackers"
59,"quakerasdaorsainsburys"
59,"quakercheshire"
59,"quakergrains"
59,"quakerharrisons"
59,"quakerharvest"
59,"quakerjordans"
59,"quakerorsomerfield"
59,"quakerorsomerfields"
59,"quakersafeway"
59,"quakertesco"
59,"quakertescosomerfield"
59,"qualer"
59,"qualker"
59,"quickgoodmorning"
59,"rainbow"
59,"rainbowfoods"
59,"rainbowhealthfoodshop"
59,"rainbowhealthshop"
59,"rainbowhealthstores"
59,"rainbowlocal"
59,"rainboworiginalbowl"
59,"rainbows"
59,"rainbowswholefoodshop"
59,"rainbowwholefood"
59,"rainbowwholefoods"
59,"rainbowwholefoodshop"
59,"rainsbowhealthshohp"
59,"rainsbowhealthshop"
59,"raisinsflakedalmonds"
59,"raisinshoneyandnuts"
59,"rapeseed"
59,"rarely"
59,"regularownbrand"
59,"resco"
59,"riecandwheat"
59,"ryvita"
59,"s"
59,"s8unblest"
59,"sadatesco"
59,"safeswayown"
59,"safewaykelloggs"
59,"safewayormorningflake"
59,"safewaysains"
59,"safewaysainsburys"
59,"safewaysdelane"
59,"safewaysownbrand"
59,"safewayssomerfieldssain"
59,"safewaystescoskelloggs"
59,"safewaytesco"
59,"saimsburys"
59,"sain"
59,"sainkel"
59,"sains"
59,"sainsafeway"
59,"sainsasda"
59,"sainsburs"
59,"sainsburts"
59,"sainsburyalpen"
59,"sainsburyalpine"
59,"sainsburydelux"
59,"sainsburykelloggs"
59,"sainsburykellogs"
59,"sainsburyorasda"
59,"sainsburyorsomerfield"
59,"sainsburyortesco"
59,"sainsburyorweetabix"
59,"sainsburys5"
59,"sainsburysasda"
59,"sainsburyscoop"
59,"sainsburysd"
59,"sainsburysdelux"
59,"sainsburysdeluxe"
59,"sainsburyseconomy"
59,"sainsburyskelloggs"
59,"sainsburysorasda"
59,"sainsburysorjordans"
59,"sainsburysorkelloggs"
59,"sainsburysorkellogs"
59,"sainsburysorms"
59,"sainsburysorsimilar"
59,"sainsburysortesco"
59,"sainsburysorwaitrose"
59,"sainsburysorweetabix"
59,"sainsburysown"
59,"sainsburysrainbow"
59,"sainsburyssomerfield"
59,"sainsburyssomerfields"
59,"sainsburyssugarfree"
59,"sainsburystesco"
59,"sainsburystescoasda"
59,"sainsburystescos"
59,"sainsburyswaitrose"
59,"sainsburytesco"
59,"sainsburytescosfield"
59,"sainseconomy"
59,"sainsjordans"
59,"sainsjordanstesco"
59,"sainskelloggs"
59,"sainskelloggstesco"
59,"sainsnettos"
59,"sainsorasda"
59,"sainsorjordans"
59,"sainsorkellogs"
59,"sainsortesco"
59,"sainsorwaitrose"
59,"sainsown"
59,"sainsownbrand"
59,"sainsquaker"
59,"sainsresco"
59,"sainssomerfield"
59,"sainssurysown"
59,"sainstesco"
59,"sainstescojordans"
59,"sainstescokelloggs"
59,"sainstescosafe"
59,"sainstescosomerfield"
59,"sainsubrystesco"
59,"sainsunsweetenedmuesli"
59,"sainswaitrose"
59,"sainswithbran"
59,"saionsburys"
59,"saisn"
59,"saisnburys"
59,"saisnburysorsomerfield"
59,"saisnburystescos"
59,"sakeway"
59,"""VARIOUSTYPESUSUALLY""""LIGHT"""""""
59,"100PCNATURAL"
59,"100natural"
59,"15yearcereal"
59,"1biscuit"
59,"1figsunflowerseeds"
59,"1one"
59,"1perday"
59,"1portion"
59,"2xbiscuits"
59,"3OLIVE"
59,"5quaker"
59,"7dayevolution"
59,"7nuts1prune1apricot"
59,"95FATFREE"
59,"ABELCOLE"
59,"ALD1"
59,"ALDIFRUITNUT"
59,"ALDIOWNMAKE"
59,"ALDISOWN"
59,"ALFORDMILL"
59,"ALLOS"
59,"ALMONDRAISEN"
59,"ALMONDSPUMPKINSUNFLOW"
59,"ALMONDSSUNFLOWERPUMPK"
59,"ALPA"
59,"ALPENDORSETCEREALS"
59,"ALPENLESSSUGAR"
59,"ALPENQUAKERKELLOGGS"
59,"ALPINNOADDEDSUGAR"
59,"ALPRO"
59,"AMERICANDISH"
59,"AMISA"
59,"ANYBRAN"
59,"ANYLOWSUGAR"
59,"ANYOTHERBRAND"
59,"ANYSUPERMARKET"
59,"APPLEJUICEORGANICYOGH"
59,"ASDANEBISCO"
59,"ASDATESCOS"
59,"ASDATESCOSOWN"
59,"AVARIETYOFBRANDS"
59,"BANANAALLFRUITDRIED"
59,"BANANAORRAISINS"
59,"BEGALORROLL"
59,"BENEFIT"
59,"BENIFIT"
59,"BERRIES"
59,"BERRYBLISS"
59,"BIOBI2ORGANICDOVESFAR"
59,"BIOBIZDOVESFARM"
59,"BIOBIZDOVESFARMORGANI"
59,"BISCUITONEADAY"
59,"BISCUITSX2"
59,"BITESIZED"
59,"BITESIZEORIGINAL"
59,"BIXES"
59,"BLACKBERRIES"
59,"BLACKBERRYAPPLE"
59,"BLENDOFALMONDHAZELNUTT"
59,"BLOCK"
59,"BOILEDWATER"
59,"BOILINGWATER"
59,"BRANAPRICOT"
59,"BRANDVARIES"
59,"BREADCOOPOWNWITHNUTSSEEDS"
59,"BROWNBREAD"
59,"BROWNBREADEGG"
59,"BUMBLEBEE"
59,"BURTONS"
59,"CANADIANHEALTHFOOD"
59,"CANNOTREMEMBER"
59,"CANTREMEMBER"
59,"CEREALWINTER"
59,"CHEAPESTBRAND"
59,"COOPHEALTHYLIVINGSWISS"
59,"COOPKELLOGS"
59,"COOPSAINSBURYS"
59,"CORNNUTSRAISINCLUST"
59,"COUNTRYELYMARKET"
59,"CRUNCHYFROMDAILYBREADSUGARFREE"
59,"DAILYBREADARJUNA"
59,"DAILYBREADCAMBRIDGE"
59,"DAILYBREADMIX"
59,"DAILYBREADORGANIC"
59,"DAILYBREADORTESCONOA"
59,"DAILYBREADOWNBRAND"
59,"DAILYBREADOWNBRANDSPE"
59,"DAILYBREAK"
59,"DAIRYFREE"
59,"DAIRYFREEORGANICWHOLEW"
59,"DAYLESFORD"
59,"DEVONCEREALS"
59,"DO"
59,"DORCETCEREAL"
59,"DORESTCEREALS"
59,"DORSETCEREALSNATURESP"
59,"DORSETCEREALSORGANIC"
59,"DORSETCOUNTRY"
59,"DORSETFARMS"
59,"DORSETLUXURY"
59,"DORSETMIX"
59,"DORSETSCEREALS"
59,"DOVESFARMBIOBI2"
59,"DOVESFARMWHOLEEARTH"
59,"E"
59,"ECONOMYBRAND"
59,"ENVIROKIDS"
59,"ESSENTIALS"
59,"EXTRAVIRGIN"
59,"FARMGROUNDLOCAL"
59,"FIBER"
59,"FLAKEMIXM"
59,"FLAMIAVANSORGANIC"
59,"FLANNIGANS"
59,"FOODDOCTOR"
59,"FORTIFIEDWITHVITIRON"
59,"FRIUTNUT"
59,"FROMALDI"
59,"FROMMARKETSTALL"
59,"FRUITANDNUTINOATWHEA"
59,"FRUITANDNUTS"
59,"FRUITNUTTYPE"
59,"GENERALMILLS"
59,"GLUTENANDWHEATFREE"
59,"GOLDENSYRUP"
59,"GOODFORYOURANGE"
59,"GOODNESSFOODSWHOLESALE"
59,"GOODNESSFULLWHOLESALE"
59,"GOODY"
